BinIndex,z,D_proxy_Mpc,D_proxy_sigma_diag_Mpc,Rows,ClaimBoundary
0,0.4188554470749187,1521.4303271318531,15.073060701706131,90,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
1,0.4971103140440729,1754.4031260869524,21.193620297155103,62,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
2,0.5746784178944113,1990.6390584212554,28.24561859403331,56,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
3,0.6467890422190642,2170.385599230305,41.15273277895089,37,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
4,0.7327431420411349,2406.3082217173414,40.248161798097634,44,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
5,0.7985752218361328,2484.6882113405477,97.38920801658459,9,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
6,0.85474,2851.5235441997406,393.83829007622177,1,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
7,0.9536224787506486,2969.877700181494,212.65221275270846,2,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
8,1.022070377967737,3518.561723743153,245.99095606562406,5,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
9,1.12085,3644.097988355292,375.2889650195633,1,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
10,1.2349547644716998,4024.335558732056,465.6391869744385,2,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
11,1.305134307608121,3994.87489674163,297.87218926133403,4,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
12,1.3498542106533666,3823.583644727732,222.38907417633575,5,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
13,1.41631,3224.2399050489985,1092.492969277844,1,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
14,1.547068508627223,4363.782832459162,397.81355088241867,2,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
15,1.6149900000000001,4115.569760835747,631.1770290177851,1,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
16,1.69702,4230.34544683341,741.2306177860853,1,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
18,1.80111,4466.525687750905,580.0098469767167,1,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
19,1.9116,4173.767848784652,689.3426056273441,1,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
23,2.2613,5286.512330809176,684.8548895902808,1,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
