CovRow,z_0.38,z_0.51,z_0.698,z_0.706,z_0.93,z_0.934,z_1.317,z_1.321,z_1.48,z_1.484,z_2.33,z_2.334,ClaimBoundary
z_0.38,90600.59811824211,65734.78732783257,32392.2064695637,31042.344697177567,-4556.289415739227,-5154.647234203726,-56902.65301305931,-57388.24443495495,-75830.67761096811,-76273.3650287591,-148037.78713057193,-148277.90071064007,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
z_0.51,65734.78732783257,49865.10751434122,27898.49832946211,26990.91918323672,2464.734552422084,2041.9000200826094,-36191.417105741595,-36568.47125775243,-51209.00236746545,-51568.73388854143,-118879.81980958617,-119158.4108998836,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
z_0.698,32392.2064695637,27898.49832946211,20699.27899584002,20375.527480104574,10764.932964317997,10584.019235841102,-8147.173191140854,-8356.936066250359,-16920.477807226223,-17141.51465622232,-69740.7843710044,-70016.23997593584,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
z_0.706,31042.344697177567,26990.91918323672,20375.527480104574,20075.12110572234,11069.500705478697,10898.555415588662,-7004.246661069795,-7206.614919410874,-15496.07291342429,-15710.706508790387,-67463.92565432866,-67737.69248498844,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
z_0.93,-4556.289415739227,2464.734552422084,10764.932964317997,11069.500705478697,18028.972100489766,18126.350181835143,23361.10564146676,23374.806572281756,23268.13456526747,23249.285468565442,2447.925276790032,2272.8114912002216,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
z_0.934,-5154.647234203726,2041.9000200826094,10584.019235841102,10898.555415588662,18126.350181835143,18228.33299812397,23875.197637423295,23892.912366722216,23941.146170392163,23926.078669087467,3803.7300105811396,3631.2730917811386,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
z_1.317,-56902.65301305931,-36191.417105741595,-8147.173191140854,-7004.246661069795,23361.10564146676,23875.197637423295,68792.57414189643,69218.3702556096,85451.9576476105,85843.15735938997,150602.29270720007,150826.13147213872,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
z_1.321,-57388.24443495495,-36568.47125775243,-8356.936066250359,-7206.614919410874,23374.806572281756,23892.912366722216,69218.3702556096,69648.66662386147,86064.9272509361,86460.81651623907,152309.40103615462,152538.83594527654,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
z_1.48,-75830.67761096811,-51209.00236746545,-16920.477807226223,-15496.07291342429,23268.13456526747,23941.146170392163,85451.9576476105,86064.9272509361,109960.50759612414,110549.97545084207,223007.5110976329,223483.2712276871,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
z_1.484,-76273.3650287591,-51568.73388854143,-17141.51465622232,-15710.706508790387,23249.285468565442,23926.078669087467,85843.15735938997,86460.81651623907,110549.97545084207,111144.49156115047,224857.06305943112,225339.61734888444,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
z_2.33,-148037.78713057193,-118879.81980958617,-69740.7843710044,-67463.92565432866,2447.925276790032,3803.7300105811396,150602.29270720007,152309.40103615462,223007.5110976329,224857.06305943112,692042.176437703,694604.155730439,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
z_2.334,-148277.90071064007,-119158.4108998836,-70016.23997593584,-67737.69248498844,2272.8114912002216,3631.2730917811386,150826.13147213872,152538.83594527654,223483.2712276871,225339.61734888444,694604.155730439,697178.9594759746,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
