z,D_median,D_p16,D_p84,D_prime_median,D_double_prime_median,FiniteSamples,BootstrapSamples,Source,SelectionRule,ClaimBoundary
0.38,1484.241106389447,1436.595308392938,1521.886019249933,2363.3202363560695,-5.955127488091822e-06,12,12,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_binned_training.csv,derivative_regularized_normalized_criteria3_no_K2_fit,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
0.51,1801.492779731736,1784.3261470409434,1824.3477331429133,2363.3202363552864,-2.977563744045911e-06,12,12,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_binned_training.csv,derivative_regularized_normalized_criteria3_no_K2_fit,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
0.698,2260.4214075259147,2231.151873419675,2303.9999063715327,2363.3202363549954,0.0,12,12,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_binned_training.csv,derivative_regularized_normalized_criteria3_no_K2_fit,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
0.706,2279.234862083555,2249.9561093854645,2325.8106440463166,2363.3202363555774,-1.1910254976183645e-05,12,12,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_binned_training.csv,derivative_regularized_normalized_criteria3_no_K2_fit,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
0.93,2804.49133233327,2758.2700234777944,2906.4808881367544,2363.3202363555774,0.0,12,12,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_binned_training.csv,derivative_regularized_normalized_criteria3_no_K2_fit,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
0.934,2813.8063129198003,2767.4286940824677,2916.6668010575895,2363.3202363555774,5.955127488091822e-06,12,12,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_binned_training.csv,derivative_regularized_normalized_criteria3_no_K2_fit,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
1.317,3716.1124539233606,3644.371404479948,3871.2784481371377,2327.36542678479,-5.955127488091822e-06,12,12,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_binned_training.csv,derivative_regularized_normalized_criteria3_no_K2_fit,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
1.321,3725.5191812021803,3653.530075084622,3881.5066296502464,2327.3654267853717,-1.1910254976183645e-05,12,12,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_binned_training.csv,derivative_regularized_normalized_criteria3_no_K2_fit,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
1.48,4099.436590535289,4015.026718018611,4288.07684479632,2327.3654267853717,0.0,12,12,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_binned_training.csv,derivative_regularized_normalized_criteria3_no_K2_fit,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
1.484,4108.8433178141095,4023.9351020432246,4298.305026309429,2327.3654267836264,0.0,12,12,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_binned_training.csv,derivative_regularized_normalized_criteria3_no_K2_fit,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
2.33,6035.86153693517,5642.6639479773785,6260.726959738053,2327.3654267836264,0.0,12,12,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_binned_training.csv,derivative_regularized_normalized_criteria3_no_K2_fit,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
2.334,6045.170998642308,5649.345846131946,6270.542329666997,2327.36542678479,0.0,12,12,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_binned_training.csv,derivative_regularized_normalized_criteria3_no_K2_fit,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
