RouteID,BootstrapIndex,SelectedEquation,SelectedSympyExpression,SelectedComplexity,SelectedLoss,SelectedIsConstant,NormalizedCriteria3Score,NormalizedLossRatio,NormalizedComplexityCost,LossConstantBaseline,LowDepthCurvatureMetric,MidHighCurvatureMetric,DerivativeRegularityPenalty,DerivativeRegularizedScore,CurvatureBudget,LambdaRegularization,FinitePrediction,K2KernelChanged,RhoGreaterThan4Allowed,K1Refit,TargetSignGateUsed,AmplitudeFitUsed,MeasurementValidationAllowed,ClaimBoundary
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,0,(x0 * 2.4385831) + -2.5105045,x0*2.4385831 - 2.5105045,5,0.015199415,False,0.2393539342192314,0.0393539342192314,0.2,0.38622352,2.3339103932124388e-09,4.667820786424215e-09,0.0,0.2393539342192314,1.0,1.0,True,False,False,False,False,False,False,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,1,-2.3470078 - (x0 * -2.19762),-(-2.19762)*x0 - 2.3470078,5,0.012467338,False,0.23918369750942764,0.03918369750942762,0.2,0.31817666,0.0,0.0,0.0,0.23918369750942764,1.0,1.0,True,False,False,False,False,False,False,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,2,(x0 - 1.1569763) * 2.4441893,(x0 - 1*1.1569763)*2.4441893,5,0.029849958,False,0.2448684410363822,0.04486844103638218,0.2,0.66527736,2.5472212513845264e-09,2.5472212513845264e-09,0.0,0.2448684410363822,1.0,1.0,True,False,False,False,False,False,False,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,3,(x0 - 0.3831742) - square(x0 + -1.8231847),x0 - (x0 - 1.8231847)**2 - 1*0.3831742,8,0.013922737,False,0.38177428996710866,0.03177428996710866,0.35,0.43817618,0.5834152365490579,1.091899912734456,0.0,0.38177428996710866,1.0,1.0,True,False,False,False,False,False,False,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,4,(x0 + -1.1630052) / 0.45404735,(x0 - 1.1630052)/0.45404735,5,0.016442887,False,0.23184332234085953,0.031843322340859515,0.2,0.51636845,3.776282940318944e-09,2.517521960212772e-09,0.0,0.23184332234085953,1.0,1.0,True,False,False,False,False,False,False,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,5,(x0 * 2.135106) + -2.0807536,x0*2.135106 - 2.0807536,5,0.007823973,False,0.23126519957887742,0.031265199578877405,0.2,0.25024542,2.522110276476693e-09,2.522110276476693e-09,0.0,0.23126519957887742,1.0,1.0,True,False,False,False,False,False,False,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,6,(x0 * 2.241846) - 2.5248632,x0*2.241846 - 1*2.5248632,5,0.01441907,False,0.22668688658770492,0.02668688658770491,0.2,0.54030544,2.457767662218e-09,7.373302986656361e-09,0.0,0.22668688658770492,1.0,1.0,True,False,False,False,False,False,False,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,7,(x0 * 2.114819) + -2.3478618,x0*2.114819 - 2.3478618,5,0.0153664425,False,0.24274959651118144,0.04274959651118143,0.2,0.35945234,2.702423712473791e-09,5.404847424948241e-09,0.0,0.24274959651118144,1.0,1.0,True,False,False,False,False,False,False,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,8,(x0 * 2.4174883) + -2.792784,x0*2.4174883 - 2.792784,5,0.02327218,False,0.23928802651279762,0.03928802651279763,0.2,0.5923479,1.336829324388807e-09,5.347317297555106e-09,0.0,0.23928802651279762,1.0,1.0,True,False,False,False,False,False,False,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,9,(x0 * 2.775648) + -3.123915,x0*2.775648 - 3.123915,5,0.035387024,False,0.2414414572037054,0.04144145720370541,0.2,0.85390395,3.469821172541136e-09,4.6264282300544995e-09,0.0,0.2414414572037054,1.0,1.0,True,False,False,False,False,False,False,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
