FamilyID,SampleID,z,Omega_R_plus_3Omega_Q,ClaimBoundary
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,0.38,1.6534310716129919,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,0.51,1.539398865390035,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,0.698,1.4292570196688927,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,0.706,1.4255271311925568,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,0.93,1.3416778334503376,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,0.934,1.3404706091105534,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,1.317,1.253738284091322,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,1.321,1.253059015972422,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,1.48,1.2286515896648946,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,1.484,1.2280965139208249,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,2.33,1.1501309139139375,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,2.334,1.1498864684640906,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,1,0.38,1.799540911422466,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,1,0.51,1.669985509932613,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,1,0.698,1.542482273766269,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,1,0.706,1.5381178221936997,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,1,0.93,1.4390645740474715,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,1,0.934,1.4376242184077652,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,1,1.317,1.3328906280441806,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,1,1.321,1.3320595045184218,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,1,1.48,1.3020673515994061,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,1,1.484,1.3013822005178226,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,1,2.33,1.2035701832742314,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,1,2.334,1.2032579453902452,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,2,0.38,-81.21077812877691,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,2,0.51,-17.393729395876445,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,2,0.698,-5.11110261688767,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,2,0.706,-4.900975762438458,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,2,0.93,-1.754325157237829,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,2,0.934,-1.725124975080877,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,2,1.317,-0.29896872469424174,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,2,1.321,-0.291735508328568,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,2,1.48,-0.05972917504927435,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,2,1.484,-0.05503411985704061,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,2,2.33,0.4194954900880394,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,2,2.334,0.42054745684257455,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,3,0.38,-60.39551104889766,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,3,0.51,-15.853218461747762,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,3,0.698,-5.106397036231092,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,3,0.706,-4.911289878772528,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,3,0.93,-1.9166360838296532,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,3,0.934,-1.8880396594735875,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,3,1.317,-0.460959178228636,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,3,1.321,-0.4535133215529449,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,3,1.48,-0.21288879503553404,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,3,1.484,-0.20797916390271484,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,3,2.33,0.30120420934533887,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,3,2.334,0.3023746639607263,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,4,0.38,2.878308646482436,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,4,0.51,2.54958383112925,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,4,0.698,2.234080502451614,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,4,0.706,2.2234297481952336,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,4,0.93,1.9845099466840668,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,4,0.934,1.9810764646269883,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,4,1.317,1.7346972887914867,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,4,1.321,1.7327688144398274,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,4,1.48,1.6634679532903918,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,4,1.484,1.6618915656264004,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,4,2.33,1.4400041955514646,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,4,2.334,1.4393061624536352,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,5,0.38,-63.59093464274333,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,5,0.51,-15.420841886608333,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,5,0.698,-4.723964113252108,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,5,0.706,-4.534782551743754,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,5,0.93,-1.6664446000319453,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,5,0.934,-1.6394561901203755,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,5,1.317,-0.3085226061618652,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,5,1.321,-0.3016873711083889,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,5,1.48,-0.08172335976675016,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,5,1.484,-0.07725575550382749,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,5,2.33,0.3798033512848734,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,5,2.334,0.3808356937858605,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,6,0.38,-69.7388063472426,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,6,0.51,-17.3867978386239,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,6,0.698,-5.549319079717503,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,6,0.706,-5.33759225222497,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,6,0.93,-2.103857595268919,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,6,0.934,-2.0731310045554565,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,6,1.317,-0.5439350704802581,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,6,1.321,-0.5359803692439356,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,6,1.48,-0.27908349552855555,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,6,1.484,-0.27384560361569604,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,6,2.33,0.26814954902490984,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,6,2.334,0.26939113134885767,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,7,0.38,2.9432804953823415,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,7,0.51,2.5973634440651097,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,7,0.698,2.2676771563107265,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,7,0.706,2.2565872048653057,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,7,0.93,2.008494288939313,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,7,0.934,2.004938465605362,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,7,1.317,1.7504829529793484,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,7,1.321,1.7484967183029088,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,7,1.48,1.6771773605581515,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,7,1.484,1.6755563755768699,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,7,2.33,1.4479561234117055,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
