FamilyID,SampleID,z,Omega_R_plus_3Omega_Q,Source,ClaimBoundary
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,0.38,-56.501574580799684,full_normalized_pysr_backreaction_smoke_reconstruction_vector,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,0.51,-14.753787464797169,full_normalized_pysr_backreaction_smoke_reconstruction_vector,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,0.698,-4.667143048641279,full_normalized_pysr_backreaction_smoke_reconstruction_vector,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,0.706,-4.476900875454043,full_normalized_pysr_backreaction_smoke_reconstruction_vector,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,0.93,-1.5019022688327137,full_normalized_pysr_backreaction_smoke_reconstruction_vector,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,0.934,-1.4679130434753664,full_normalized_pysr_backreaction_smoke_reconstruction_vector,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,1.317,-0.18008269023505902,full_normalized_pysr_backreaction_smoke_reconstruction_vector,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,1.321,-0.17373867800572457,full_normalized_pysr_backreaction_smoke_reconstruction_vector,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,1.48,0.03331023557775504,full_normalized_pysr_backreaction_smoke_reconstruction_vector,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,1.484,0.03757874597480113,full_normalized_pysr_backreaction_smoke_reconstruction_vector,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,2.33,0.44264589863150855,full_normalized_pysr_backreaction_smoke_reconstruction_vector,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,2.334,0.44357141336298445,full_normalized_pysr_backreaction_smoke_reconstruction_vector,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
