CovRow,z_0.38,z_0.51,z_0.698,z_0.706,z_0.93,z_0.934,z_1.317,z_1.321,z_1.48,z_1.484,z_2.33,z_2.334,ClaimBoundary
z_0.38,1.2398199700800032e-05,1.0069624311709798e-05,6.8306414596114435e-06,6.696194745999475e-06,3.0443851562543326e-06,2.9811585929806707e-06,-2.7470586015909656e-06,-2.8034563514210716e-06,-4.9872173441803525e-06,-5.040688427366913e-06,-1.4680873116614548e-05,-1.4718294982433063e-05,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
z_0.51,1.0069624311709798e-05,8.388782041998568e-06,5.9732439902213335e-06,5.870849575611366e-06,3.0166480751805875e-06,2.9659030335378195e-06,-1.8579634823944047e-06,-1.9079877533987235e-06,-3.890760285946335e-06,-3.940500444893064e-06,-1.4325100550817477e-05,-1.4373663030938374e-05,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
z_0.698,6.8306414596114435e-06,5.9732439902213335e-06,4.6273812567641674e-06,4.567308962337045e-06,2.7913002119297096e-06,2.7579239954172673e-06,-7.140457191721564e-07,-7.532387118219576e-07,-2.3615304756666394e-06,-2.403269073534585e-06,-1.2739084765081091e-05,-1.2795590946437653e-05,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
z_0.706,6.696194745999475e-06,5.870849575611366e-06,4.567308962337045e-06,4.508931293480728e-06,2.7768187295870488e-06,2.7441636896603776e-06,-6.691014355697241e-07,-7.077906487673319e-07,-2.297921022808752e-06,-2.3392499145229014e-06,-1.2643025458777584e-05,-1.269965164989927e-05,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
z_0.93,3.0443851562543326e-06,3.0166480751805875e-06,2.7913002119297096e-06,2.7768187295870488e-06,2.20753419903905e-06,2.1944755857326587e-06,4.649941455519871e-07,4.418579890454993e-07,-5.646228312772176e-07,-5.921437068684963e-07,-8.98366464895908e-06,-9.036238617787094e-06,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
z_0.934,2.9811585929806707e-06,2.9659030335378195e-06,2.7579239954172673e-06,2.7441636896603776e-06,2.1944755857326587e-06,2.181756412569207e-06,4.830569113089034e-07,4.602241735188584e-07,-5.345010213900597e-07,-5.617338626986195e-07,-8.901051289244656e-06,-8.953420768188896e-06,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
z_1.317,-2.7470586015909656e-06,-1.8579634823944047e-06,-7.140457191721564e-07,-6.691014355697241e-07,4.649941455519871e-07,4.830569113089034e-07,1.853466600199654e-06,1.8640025241375856e-06,2.2188801441880367e-06,2.226193546016089e-06,1.9388552420531744e-06,1.9285476846248113e-06,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
z_1.321,-2.8034563514210716e-06,-1.9079877533987235e-06,-7.532387118219576e-07,-7.077906487673319e-07,4.418579890454993e-07,4.602241735188584e-07,1.8640025241375856e-06,1.8749331290443316e-06,2.246302153812501e-06,2.25405089158015e-06,2.08362274844633e-06,2.0739971270369144e-06,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
z_1.48,-4.9872173441803525e-06,-3.890760285946335e-06,-2.3615304756666394e-06,-2.297921022808752e-06,-5.646228312772176e-07,-5.345010213900597e-07,2.2188801441880367e-06,2.246302153812501e-06,3.31485109237127e-06,3.3412000929661074e-06,8.392220108049595e-06,8.413974470774813e-06,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
z_1.484,-5.040688427366913e-06,-3.940500444893064e-06,-2.403269073534585e-06,-2.3392499145229014e-06,-5.921437068684963e-07,-5.617338626986195e-07,2.226193546016089e-06,2.25405089158015e-06,3.3412000929661074e-06,3.368050039625428e-06,8.565092931569072e-06,8.587746078354725e-06,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
z_2.33,-1.4680873116614548e-05,-1.4325100550817477e-05,-1.2739084765081091e-05,-1.2643025458777584e-05,-8.98366464895908e-06,-8.901051289244656e-06,1.9388552420531744e-06,2.08362274844633e-06,8.392220108049595e-06,8.565092931569072e-06,6.272781810139808e-05,6.307732678446252e-05,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
z_2.334,-1.4718294982433063e-05,-1.4373663030938374e-05,-1.2795590946437653e-05,-1.269965164989927e-05,-9.036238617787094e-06,-8.953420768188896e-06,1.9285476846248113e-06,2.0739971270369144e-06,8.413974470774813e-06,8.587746078354725e-06,6.307732678446252e-05,6.342911094998228e-05,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
