FamilyID,SampleID,z,Omega_R_plus_3Omega_Q,Source,ClaimBoundary
REGULARIZED_FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,0.38,2.8117954539384766,regularized_full_pysr_backreaction_smoke_reconstruction_vector,regularized_full_pysr_backreaction_smoke_null_no_measurement_validation
REGULARIZED_FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,0.51,2.4751591175596825,regularized_full_pysr_backreaction_smoke_reconstruction_vector,regularized_full_pysr_backreaction_smoke_null_no_measurement_validation
REGULARIZED_FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,0.698,2.174031796307345,regularized_full_pysr_backreaction_smoke_reconstruction_vector,regularized_full_pysr_backreaction_smoke_null_no_measurement_validation
REGULARIZED_FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,0.706,2.163727943130951,regularized_full_pysr_backreaction_smoke_reconstruction_vector,regularized_full_pysr_backreaction_smoke_null_no_measurement_validation
REGULARIZED_FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,0.93,1.9290320688697316,regularized_full_pysr_backreaction_smoke_reconstruction_vector,regularized_full_pysr_backreaction_smoke_null_no_measurement_validation
REGULARIZED_FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,0.934,1.9256383776522594,regularized_full_pysr_backreaction_smoke_reconstruction_vector,regularized_full_pysr_backreaction_smoke_null_no_measurement_validation
REGULARIZED_FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,1.317,1.6980918527614475,regularized_full_pysr_backreaction_smoke_reconstruction_vector,regularized_full_pysr_backreaction_smoke_null_no_measurement_validation
REGULARIZED_FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,1.321,1.6962143369243234,regularized_full_pysr_backreaction_smoke_reconstruction_vector,regularized_full_pysr_backreaction_smoke_null_no_measurement_validation
REGULARIZED_FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,1.48,1.6340568717580626,regularized_full_pysr_backreaction_smoke_reconstruction_vector,regularized_full_pysr_backreaction_smoke_null_no_measurement_validation
REGULARIZED_FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,1.484,1.6328226690058423,regularized_full_pysr_backreaction_smoke_reconstruction_vector,regularized_full_pysr_backreaction_smoke_null_no_measurement_validation
REGULARIZED_FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,2.33,1.4262535395261535,regularized_full_pysr_backreaction_smoke_reconstruction_vector,regularized_full_pysr_backreaction_smoke_null_no_measurement_validation
REGULARIZED_FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,0,2.334,1.4255690683072562,regularized_full_pysr_backreaction_smoke_reconstruction_vector,regularized_full_pysr_backreaction_smoke_null_no_measurement_validation
