z,D_median,D_p16,D_p84,D_prime_median,D_double_prime_median,FiniteSamples,BootstrapSamples,Source,ClaimBoundary
0.38,1020.832764944415,837.5003554483666,1509.1153983620043,7963.2440798000625,-37671.14847446732,12,12,data/physical_nulls/backreaction_reproduction/source_native_normalized_criteria3_d_branch_binned_training.csv,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
0.51,1797.0422978711617,1706.7340119711507,1811.0090995220878,4779.372575243965,-15582.928248828684,12,12,data/physical_nulls/backreaction_reproduction/source_native_normalized_criteria3_d_branch_binned_training.csv,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
0.698,2450.9378374603375,2225.6870846578686,2510.706252968028,2927.1071343450712,-6078.456344190938,12,12,data/physical_nulls/backreaction_reproduction/source_native_normalized_criteria3_d_branch_binned_training.csv,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
0.706,2476.710365683097,2243.9002970095785,2533.995204056952,2879.302890318004,-5874.155857841337,12,12,data/physical_nulls/backreaction_reproduction/source_native_normalized_criteria3_d_branch_binned_training.csv,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
0.93,3041.8976138665125,2751.3213569070253,3087.947701901092,2185.922183935051,-2569.867367122407,12,12,data/physical_nulls/backreaction_reproduction/source_native_normalized_criteria3_d_branch_binned_training.csv,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
0.934,3050.3140556926337,2760.35558206008,3095.9327748150995,2185.922183935051,-2536.9909960360656,12,12,data/physical_nulls/backreaction_reproduction/source_native_normalized_criteria3_d_branch_binned_training.csv,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
1.317,3701.3107562211744,3625.382640465067,3772.3461404014515,1545.8805403277036,-904.9033937616489,12,12,data/physical_nulls/backreaction_reproduction/source_native_normalized_criteria3_d_branch_binned_training.csv,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
1.321,3706.9720245368635,3634.416865618122,3778.2481579217056,1541.8930427852647,-896.7081081009792,12,12,data/physical_nulls/backreaction_reproduction/source_native_normalized_criteria3_d_branch_binned_training.csv,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
1.48,3981.650976290085,3924.4339457174947,4031.315568797896,1408.6256209353191,-637.6383023331434,12,12,data/physical_nulls/backreaction_reproduction/source_native_normalized_criteria3_d_branch_binned_training.csv,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
1.484,3987.037815338751,3929.6986507589854,4040.511286887977,1405.8144336183054,-632.496085477941,12,12,data/physical_nulls/backreaction_reproduction/source_native_normalized_criteria3_d_branch_binned_training.csv,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
2.33,5074.197386102053,4917.705482539298,5955.501306118115,1097.1303547458126,-163.41493924684713,12,12,data/physical_nulls/backreaction_reproduction/source_native_normalized_criteria3_d_branch_binned_training.csv,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
2.334,5078.497814858743,4921.906878329501,5964.634743843776,1096.408835688997,-162.57621909142426,12,12,data/physical_nulls/backreaction_reproduction/source_native_normalized_criteria3_d_branch_binned_training.csv,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
