FamilyID,SampleID,z,Omega_R_plus_3Omega_Q,Source,ClaimBoundary
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,0,0.38,0.8258096745663561,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,0,0.51,0.8294799419777893,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,0,0.698,0.8359848733769258,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,0,0.706,0.8362774019296566,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,0,0.93,0.8446120576965402,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,0,0.934,0.8447610315629824,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,0,1.317,0.8585016758004521,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,0,1.321,0.8586378435694547,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,0,1.48,0.8639075067900156,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,0,1.484,0.8640363791002311,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,0,2.33,0.8873919324946046,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,0,2.334,0.8874854964569683,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,1,0.38,0.9619301456482231,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
