PreflightID,ExtractionID,GridIndex,z_grid,x_coordinate,Alpha,ClumpinessAmplitude,SourceSplitResponse,AlphaASDeclaredPreview,PreviewSigmaDiag,TargetSign,PreviewSign,SignMatchesTarget,SignStableTemplate,ScoringAllowed,ClaimBoundary
ALPHA_AS_DECLARED_TAU_CORE_PREFLIGHT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,0,0.51,0.3416929010998006,0.685,0.3149999999999999,-5.101385205889281,-0.1590373839298877,0.0845674978039879,-1,-1,True,True,False,alpha_as_declared_preflight_no_measurement_validation
ALPHA_AS_DECLARED_TAU_CORE_PREFLIGHT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,1,0.7375,0.4647935960751178,0.685,0.3149999999999999,-4.042742053840544,-0.1195344978427562,0.0635619948846402,-1,-1,True,True,False,alpha_as_declared_preflight_no_measurement_validation
ALPHA_AS_DECLARED_TAU_CORE_PREFLIGHT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,2,0.965,0.5722853512593028,0.685,0.3149999999999999,-1.0612908027787438,-0.0751779035380205,0.0399755518813284,-1,-1,True,True,False,alpha_as_declared_preflight_no_measurement_validation
ALPHA_AS_DECLARED_TAU_CORE_PREFLIGHT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,3,1.1925,0.6664206564248482,0.685,0.3149999999999999,0.1211657917854815,-0.028780679229061,0.0153040119710086,1,-1,False,False,False,alpha_as_declared_preflight_no_measurement_validation
ALPHA_AS_DECLARED_TAU_CORE_PREFLIGHT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,4,1.42,0.7492942398266921,0.685,0.3149999999999999,-1.66707598793248,0.0179027919452116,0.0095197385740411,-1,1,False,True,False,alpha_as_declared_preflight_no_measurement_validation
ALPHA_AS_DECLARED_TAU_CORE_PREFLIGHT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,5,1.6475,0.8227137721205666,0.685,0.3149999999999999,-1.3950527132306294,0.0638265679370861,0.033939524220514,-1,1,False,True,False,alpha_as_declared_preflight_no_measurement_validation
ALPHA_AS_DECLARED_TAU_CORE_PREFLIGHT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,6,1.875,0.8881852892662213,0.685,0.3149999999999999,-2.4164046464078455,0.1083971200562546,0.0576397384426116,-1,1,False,False,False,alpha_as_declared_preflight_no_measurement_validation
ALPHA_AS_DECLARED_TAU_CORE_PREFLIGHT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,8,2.33,1.0,0.685,0.3149999999999999,-1.9828338698253765,0.192403984601173,0.1023100553037983,-1,1,False,False,False,alpha_as_declared_preflight_no_measurement_validation
ALPHA_AS_DECLARED_TAU_CORE_PREFLIGHT_V1,PX_ZKDR_1303_TABLE7_JOINT_ALPHA_WITH_HUBBLE,0,0.51,0.3416929010998006,0.821,0.179,-5.101385205889281,-0.0903736245188886,0.0603332297765764,-1,-1,True,True,False,alpha_as_declared_preflight_no_measurement_validation
ALPHA_AS_DECLARED_TAU_CORE_PREFLIGHT_V1,PX_ZKDR_1303_TABLE7_JOINT_ALPHA_WITH_HUBBLE,1,0.7375,0.4647935960751178,0.821,0.179,-4.042742053840544,-0.0679259527423916,0.0453472142609821,-1,-1,True,True,False,alpha_as_declared_preflight_no_measurement_validation
ALPHA_AS_DECLARED_TAU_CORE_PREFLIGHT_V1,PX_ZKDR_1303_TABLE7_JOINT_ALPHA_WITH_HUBBLE,2,0.965,0.5722853512593028,0.821,0.179,-1.0612908027787438,-0.0427201420104942,0.0285198713422014,-1,-1,True,True,False,alpha_as_declared_preflight_no_measurement_validation
ALPHA_AS_DECLARED_TAU_CORE_PREFLIGHT_V1,PX_ZKDR_1303_TABLE7_JOINT_ALPHA_WITH_HUBBLE,3,1.1925,0.6664206564248482,0.821,0.179,0.1211657917854815,-0.0163547351809585,0.0109183846599136,1,-1,False,False,False,alpha_as_declared_preflight_no_measurement_validation
ALPHA_AS_DECLARED_TAU_CORE_PREFLIGHT_V1,PX_ZKDR_1303_TABLE7_JOINT_ALPHA_WITH_HUBBLE,4,1.42,0.7492942398266921,0.821,0.179,-1.66707598793248,0.0101733325656917,0.0067916940871517,-1,1,False,True,False,alpha_as_declared_preflight_no_measurement_validation
ALPHA_AS_DECLARED_TAU_CORE_PREFLIGHT_V1,PX_ZKDR_1303_TABLE7_JOINT_ALPHA_WITH_HUBBLE,5,1.6475,0.8227137721205666,0.821,0.179,-1.3950527132306294,0.0362697005102807,0.0242135710110533,-1,1,False,True,False,alpha_as_declared_preflight_no_measurement_validation
ALPHA_AS_DECLARED_TAU_CORE_PREFLIGHT_V1,PX_ZKDR_1303_TABLE7_JOINT_ALPHA_WITH_HUBBLE,6,1.875,0.8881852892662213,0.821,0.179,-2.4164046464078455,0.0615970936192685,0.041122082053087,-1,1,False,False,False,alpha_as_declared_preflight_no_measurement_validation
ALPHA_AS_DECLARED_TAU_CORE_PREFLIGHT_V1,PX_ZKDR_1303_TABLE7_JOINT_ALPHA_WITH_HUBBLE,8,2.33,1.0,0.821,0.179,-1.9828338698253765,0.109334327757492,0.0729913528883815,-1,1,False,False,False,alpha_as_declared_preflight_no_measurement_validation
