ProtocolID,KillID,KillClass,Condition,FrozenBeforeScoring,ClaimBoundary
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,KPRE1,pre_score,M_BSTAR_36 remaining norm after POLY2 projection < 0.50.,True,backreaction_36_kill_conditions_predeclared
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,KPRE2,pre_score,One family carries > 60% of vector norm.,True,backreaction_36_kill_conditions_predeclared
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,KPRE3,pre_score,Target residual used in generator.,True,backreaction_36_kill_conditions_predeclared
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,KPRE4,pre_score,Generator hash changes after target columns are removed.,True,backreaction_36_kill_conditions_predeclared
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,KPRE5,pre_score,Null comparator generation depends on target.,True,backreaction_36_kill_conditions_predeclared
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,KPRE6,pre_score,Row set changes after freeze.,True,backreaction_36_kill_conditions_predeclared
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,KPRE7,pre_score,Fold design changes after seeing score.,True,backreaction_36_kill_conditions_predeclared
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,KSCORE1,score,OOS delta <= 0.,True,backreaction_36_kill_conditions_predeclared
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,KSCORE2,score,Leave-one-family-out aggregate fails.,True,backreaction_36_kill_conditions_predeclared
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,KSCORE3,score,Contiguous clock-block aggregate fails.,True,backreaction_36_kill_conditions_predeclared
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,KSCORE4,score,BIC/AICc negative.,True,backreaction_36_kill_conditions_predeclared
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,KSCORE5,score,Any primary null comparator matches or beats real M_BSTAR_36.,True,backreaction_36_kill_conditions_predeclared
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,KSCORE6,score,Amplitude sign unstable.,True,backreaction_36_kill_conditions_predeclared
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,KSCORE7,score,Improvement dominated by one family.,True,backreaction_36_kill_conditions_predeclared
