Dataset,SigmaRoute,ValidationMode,FoldID,ModelID,ModelClass,ParameterCount,TrainN,TestN,TestGridIndices,TestChi2,TestMeanChi2,TestMeanAbsResidual,ClaimBoundary
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_0,K1_NO_MEMORY,fair_null,0,7,1,0,8.285140264595785,8.285140264595785,4.898156406749777,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_0,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,0,7,1,0,8.172606510613544,8.172606510613544,4.864777825337984,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_0,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,0,7,1,0,7.396959774181269,7.396959774181269,4.628170444786686,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_0,POLY_DEG2,overfit_risk_control,3,7,1,0,0.09026479310315784,0.09026479310315784,0.5112601129998797,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_0,POLY_DEG3,overfit_risk_control,4,7,1,0,21.87138780496697,21.87138780496697,7.958310633065016,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_1,K1_NO_MEMORY,fair_null,0,7,1,1,5.606871613413383,5.606871613413383,3.823457452671512,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_1,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,0,7,1,1,5.3458396104529395,5.3458396104529395,3.7333947995763315,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_1,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,0,7,1,1,4.496635256438409,4.496635256438409,3.424047545312119,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_1,POLY_DEG2,overfit_risk_control,3,7,1,1,0.7420307066541216,0.7420307066541216,1.3909351899066484,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_1,POLY_DEG3,overfit_risk_control,4,7,1,1,2.2372499018757557,2.2372499018757557,2.415200582376012,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_2,K1_NO_MEMORY,fair_null,0,7,1,2,0.4326823754018573,0.4326823754018573,0.9962064728097975,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_2,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,0,7,1,2,0.39064343370448296,0.39064343370448296,0.9465749799094426,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_2,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,0,7,1,2,0.3016963737369355,0.3016963737369355,0.8318591570401412,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_2,POLY_DEG2,overfit_risk_control,3,7,1,2,0.3827351460184784,0.3827351460184784,0.9369446353599897,a2_polynomial_cv_no_measurement_validation
