SigmaRoute,ValidationMode,ModelID,Folds,TotalTestN,TotalTestChi2,MeanFoldChi2,MeanTestMeanChi2,MeanAbsResidual,ClaimBoundary,A2TotalTestChi2,K2UnitTotalTestChi2,K1TotalTestChi2,BestPolyModel,BestPolyTotalTestChi2,DeltaChi2_A2_minus_K1,DeltaChi2_A2_minus_K2Unit,DeltaChi2_A2_minus_BestPoly,A2ImprovesOverK1,A2ImprovesOverK2Unit,A2BeatsBestPoly
public_proxy_diag,leave_one_out,K1_NO_MEMORY,8,8,19.654148367089924,2.4567685458862405,2.4567685458862405,2.053025679822352,a2_polynomial_cv_no_measurement_validation,,,,,,,,,,,
public_proxy_diag,leave_one_out,K2_UNIT_LOCKED_RHO4,8,8,16.075099151265547,2.0093873939081934,2.0093873939081934,1.740329078975185,a2_polynomial_cv_no_measurement_validation,,,,,,,,,,,
public_proxy_diag,leave_one_out,K2_SOURCE_SPLIT_A2_PRIOR_V1,8,8,12.477682898809539,1.5597103623511923,1.5597103623511923,1.3044402703116402,a2_polynomial_cv_no_measurement_validation,,,,,,,,,,,
public_proxy_diag,leave_one_out,POLY_DEG2,8,8,7.205322875603564,0.9006653594504455,0.9006653594504455,1.210720703111362,a2_polynomial_cv_no_measurement_validation,,,,,,,,,,,
public_proxy_diag,leave_one_out,POLY_DEG3,8,8,36.77704006002544,4.59713000750318,4.59713000750318,2.37733398396219,a2_polynomial_cv_no_measurement_validation,,,,,,,,,,,
public_proxy_diag,blocked_split,K1_NO_MEMORY,4,11,23.373217502655258,5.8433043756638146,2.5266019534716535,2.0671292778377035,a2_polynomial_cv_no_measurement_validation,,,,,,,,,,,
public_proxy_diag,blocked_split,K2_UNIT_LOCKED_RHO4,4,11,17.381945181800205,4.345486295450051,2.0117640201944544,1.7207220117856643,a2_polynomial_cv_no_measurement_validation,,,,,,,,,,,
public_proxy_diag,blocked_split,K2_SOURCE_SPLIT_A2_PRIOR_V1,4,11,12.581984895246682,3.1454962238116706,1.54406520087971,1.2644437678702523,a2_polynomial_cv_no_measurement_validation,,,,,,,,,,,
public_proxy_diag,blocked_split,POLY_DEG2,4,11,27.146964165243556,6.786741041310889,2.9310180741647276,2.124332171579355,a2_polynomial_cv_no_measurement_validation,,,,,,,,,,,
public_proxy_diag,blocked_split,POLY_DEG3,4,11,855.7935667828426,213.94839169571065,72.79179153294383,6.922597738192715,a2_polynomial_cv_no_measurement_validation,,,,,,,,,,,
branch_scatter_diag,leave_one_out,K1_NO_MEMORY,8,8,13.633485250891928,1.704185656361491,1.704185656361491,2.053025679822352,a2_polynomial_cv_no_measurement_validation,,,,,,,,,,,
branch_scatter_diag,leave_one_out,K2_UNIT_LOCKED_RHO4,8,8,9.864176617315044,1.2330220771643805,1.2330220771643805,1.740329078975185,a2_polynomial_cv_no_measurement_validation,,,,,,,,,,,
branch_scatter_diag,leave_one_out,K2_SOURCE_SPLIT_A2_PRIOR_V1,8,8,6.696594273254654,0.8370742841568317,0.8370742841568317,1.3044402703116402,a2_polynomial_cv_no_measurement_validation,,,,,,,,,,,
branch_scatter_diag,leave_one_out,POLY_DEG2,8,8,243.48546266573564,30.435682833216955,30.435682833216955,1.7140227406884492,a2_polynomial_cv_no_measurement_validation,,,,,,,,,,,
