CovariancePreviewID,ExtractionID,GridIndexI,GridIndexJ,z_i,z_j,x_i,x_j,SigmaI,SigmaJ,Correlation,CovarianceValue,ScoringAllowed,CovarianceStatus,BlockingIssue,ClaimBoundary
ALPHA_COV_DIAGONAL_PREVIEW_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,0,0,0.51,0.51,0.3416929010998006,0.3416929010998006,0.0845674978039879,0.0845674978039879,1.0,0.007151661684827498,False,preview_only,source_native_covariance_missing;measurement_scorecard_not_authorized,alpha_covariance_preview_no_measurement_validation
ALPHA_COV_EXP_X_PREVIEW_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,0,0,0.51,0.51,0.3416929010998006,0.3416929010998006,0.0845674978039879,0.0845674978039879,1.0,0.007151661684827498,False,preview_only,source_native_covariance_missing;measurement_scorecard_not_authorized,alpha_covariance_preview_no_measurement_validation
ALPHA_COV_DIAGONAL_PREVIEW_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,0,1,0.51,0.7375,0.3416929010998006,0.4647935960751178,0.0845674978039879,0.0635619948846402,0.0,0.0,False,preview_only,source_native_covariance_missing;measurement_scorecard_not_authorized,alpha_covariance_preview_no_measurement_validation
ALPHA_COV_EXP_X_PREVIEW_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,0,1,0.51,0.7375,0.3416929010998006,0.4647935960751178,0.0845674978039879,0.0635619948846402,0.7034796910006457,0.00378139951346166,False,preview_only,source_native_covariance_missing;measurement_scorecard_not_authorized,alpha_covariance_preview_no_measurement_validation
ALPHA_COV_DIAGONAL_PREVIEW_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,0,2,0.51,0.965,0.3416929010998006,0.5722853512593028,0.0845674978039879,0.0399755518813284,0.0,0.0,False,preview_only,source_native_covariance_missing;measurement_scorecard_not_authorized,alpha_covariance_preview_no_measurement_validation
ALPHA_COV_EXP_X_PREVIEW_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,0,2,0.51,0.965,0.3416929010998006,0.5722853512593028,0.0845674978039879,0.0399755518813284,0.5174535212507775,0.0017493201373322827,False,preview_only,source_native_covariance_missing;measurement_scorecard_not_authorized,alpha_covariance_preview_no_measurement_validation
ALPHA_COV_DIAGONAL_PREVIEW_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,0,3,0.51,1.1925,0.3416929010998006,0.6664206564248482,0.0845674978039879,0.0153040119710086,0.0,0.0,False,preview_only,source_native_covariance_missing;measurement_scorecard_not_authorized,alpha_covariance_preview_no_measurement_validation
ALPHA_COV_EXP_X_PREVIEW_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,0,3,0.51,1.1925,0.3416929010998006,0.6664206564248482,0.0845674978039879,0.0153040119710086,0.39542522004995795,0.0005117680186494027,False,preview_only,source_native_covariance_missing;measurement_scorecard_not_authorized,alpha_covariance_preview_no_measurement_validation
ALPHA_COV_DIAGONAL_PREVIEW_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,0,4,0.51,1.42,0.3416929010998006,0.7492942398266921,0.0845674978039879,0.0095197385740411,0.0,0.0,False,preview_only,source_native_covariance_missing;measurement_scorecard_not_authorized,alpha_covariance_preview_no_measurement_validation
ALPHA_COV_EXP_X_PREVIEW_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,0,4,0.51,1.42,0.3416929010998006,0.7492942398266921,0.0845674978039879,0.0095197385740411,0.3120551782308331,0.0002512232887503859,False,preview_only,source_native_covariance_missing;measurement_scorecard_not_authorized,alpha_covariance_preview_no_measurement_validation
ALPHA_COV_DIAGONAL_PREVIEW_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,0,5,0.51,1.6475,0.3416929010998006,0.8227137721205666,0.0845674978039879,0.033939524220514,0.0,0.0,False,preview_only,source_native_covariance_missing;measurement_scorecard_not_authorized,alpha_covariance_preview_no_measurement_validation
ALPHA_COV_EXP_X_PREVIEW_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,0,5,0.51,1.6475,0.3416929010998006,0.8227137721205666,0.0845674978039879,0.033939524220514,0.25300517250656734,0.000726170547944848,False,preview_only,source_native_covariance_missing;measurement_scorecard_not_authorized,alpha_covariance_preview_no_measurement_validation
ALPHA_COV_DIAGONAL_PREVIEW_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,0,6,0.51,1.875,0.3416929010998006,0.8881852892662213,0.0845674978039879,0.0576397384426116,0.0,0.0,False,preview_only,source_native_covariance_missing;measurement_scorecard_not_authorized,alpha_covariance_preview_no_measurement_validation
ALPHA_COV_EXP_X_PREVIEW_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,0,6,0.51,1.875,0.3416929010998006,0.8881852892662213,0.0845674978039879,0.0576397384426116,0.20984065472089333,0.001022857455025858,False,preview_only,source_native_covariance_missing;measurement_scorecard_not_authorized,alpha_covariance_preview_no_measurement_validation
ALPHA_COV_DIAGONAL_PREVIEW_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,0,8,0.51,2.33,0.3416929010998006,1.0,0.0845674978039879,0.1023100553037983,0.0,0.0,False,preview_only,source_native_covariance_missing;measurement_scorecard_not_authorized,alpha_covariance_preview_no_measurement_validation
ALPHA_COV_EXP_X_PREVIEW_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,0,8,0.51,2.33,0.3416929010998006,1.0,0.0845674978039879,0.1023100553037983,0.152456278038365,0.001319067783008186,False,preview_only,source_native_covariance_missing;measurement_scorecard_not_authorized,alpha_covariance_preview_no_measurement_validation
ALPHA_COV_DIAGONAL_PREVIEW_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,1,0,0.7375,0.51,0.4647935960751178,0.3416929010998006,0.0635619948846402,0.0845674978039879,0.0,0.0,False,preview_only,source_native_covariance_missing;measurement_scorecard_not_authorized,alpha_covariance_preview_no_measurement_validation
