TemplateID,NullID,GridIndex,z_grid,x_coordinate,ProxyValue,ShapeDefinition,AmplitudePolicy,ScoringAllowed,RequiredBeforeScoring,ClaimBoundary
BACKREACTION_BROADBAND_UNIT_NORM_V1,BACKREACTION_ONLY,0,0.51,0.3416929010998006,-0.5818167597085098,unit_norm(centered[x^2*(1-0.5*x)]),not_fit_in_template,False,predeclare amplitude policy and covariance route,physical_null_proxy_template_no_measurement_validation
DYER_ROEDER_OPTICAL_UNIT_NORM_V1,DYER_ROEDER_OPTICAL,0,0.51,0.3416929010998006,-0.5048805839044057,unit_norm(centered[x^2]),not_fit_in_template,False,predeclare optical amplitude/clumpiness policy and covariance route,physical_null_proxy_template_no_measurement_validation
BACKREACTION_BROADBAND_UNIT_NORM_V1,BACKREACTION_ONLY,1,0.7375,0.4647935960751178,-0.39352469183106076,unit_norm(centered[x^2*(1-0.5*x)]),not_fit_in_template,False,predeclare amplitude policy and covariance route,physical_null_proxy_template_no_measurement_validation
DYER_ROEDER_OPTICAL_UNIT_NORM_V1,DYER_ROEDER_OPTICAL,1,0.7375,0.4647935960751178,-0.37947459632621033,unit_norm(centered[x^2]),not_fit_in_template,False,predeclare optical amplitude/clumpiness policy and covariance route,physical_null_proxy_template_no_measurement_validation
BACKREACTION_BROADBAND_UNIT_NORM_V1,BACKREACTION_ONLY,2,0.965,0.5722853512593028,-0.20810408348992554,unit_norm(centered[x^2*(1-0.5*x)]),not_fit_in_template,False,predeclare amplitude policy and covariance route,physical_null_proxy_template_no_measurement_validation
DYER_ROEDER_OPTICAL_UNIT_NORM_V1,DYER_ROEDER_OPTICAL,2,0.965,0.5722853512593028,-0.2386600112318113,unit_norm(centered[x^2]),not_fit_in_template,False,predeclare optical amplitude/clumpiness policy and covariance route,physical_null_proxy_template_no_measurement_validation
BACKREACTION_BROADBAND_UNIT_NORM_V1,BACKREACTION_ONLY,3,1.1925,0.6664206564248482,-0.0380467623429294,unit_norm(centered[x^2*(1-0.5*x)]),not_fit_in_template,False,predeclare amplitude policy and covariance route,physical_null_proxy_template_no_measurement_validation
DYER_ROEDER_OPTICAL_UNIT_NORM_V1,DYER_ROEDER_OPTICAL,3,1.1925,0.6664206564248482,-0.09136723564781296,unit_norm(centered[x^2]),not_fit_in_template,False,predeclare optical amplitude/clumpiness policy and covariance route,physical_null_proxy_template_no_measurement_validation
BACKREACTION_BROADBAND_UNIT_NORM_V1,BACKREACTION_ONLY,4,1.42,0.7492942398266921,0.11190613990926046,unit_norm(centered[x^2*(1-0.5*x)]),not_fit_in_template,False,predeclare amplitude policy and covariance route,physical_null_proxy_template_no_measurement_validation
DYER_ROEDER_OPTICAL_UNIT_NORM_V1,DYER_ROEDER_OPTICAL,4,1.42,0.7492942398266921,0.05683426014352916,unit_norm(centered[x^2]),not_fit_in_template,False,predeclare optical amplitude/clumpiness policy and covariance route,physical_null_proxy_template_no_measurement_validation
BACKREACTION_BROADBAND_UNIT_NORM_V1,BACKREACTION_ONLY,5,1.6475,0.8227137721205666,0.24102079339348953,unit_norm(centered[x^2*(1-0.5*x)]),not_fit_in_template,False,predeclare amplitude policy and covariance route,physical_null_proxy_template_no_measurement_validation
DYER_ROEDER_OPTICAL_UNIT_NORM_V1,DYER_ROEDER_OPTICAL,5,1.6475,0.8227137721205666,0.20262402519709904,unit_norm(centered[x^2]),not_fit_in_template,False,predeclare optical amplitude/clumpiness policy and covariance route,physical_null_proxy_template_no_measurement_validation
BACKREACTION_BROADBAND_UNIT_NORM_V1,BACKREACTION_ONLY,6,1.875,0.8881852892662213,0.35045009134531185,unit_norm(centered[x^2*(1-0.5*x)]),not_fit_in_template,False,predeclare amplitude policy and covariance route,physical_null_proxy_template_no_measurement_validation
DYER_ROEDER_OPTICAL_UNIT_NORM_V1,DYER_ROEDER_OPTICAL,6,1.875,0.8881852892662213,0.34411784144842755,unit_norm(centered[x^2]),not_fit_in_template,False,predeclare optical amplitude/clumpiness policy and covariance route,physical_null_proxy_template_no_measurement_validation
BACKREACTION_BROADBAND_UNIT_NORM_V1,BACKREACTION_ONLY,8,2.33,1.0,0.5181152727243638,unit_norm(centered[x^2*(1-0.5*x)]),not_fit_in_template,False,predeclare amplitude policy and covariance route,physical_null_proxy_template_no_measurement_validation
DYER_ROEDER_OPTICAL_UNIT_NORM_V1,DYER_ROEDER_OPTICAL,8,2.33,1.0,0.6108063003211842,unit_norm(centered[x^2]),not_fit_in_template,False,predeclare optical amplitude/clumpiness policy and covariance route,physical_null_proxy_template_no_measurement_validation
