ObjectID,Column,Required,Role,ClaimBoundary
SOURCE_NATIVE_RECONSTRUCTION_VECTOR,FamilyID,True,source-native D/H_D derivative export,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_RECONSTRUCTION_VECTOR,SampleID,True,source-native D/H_D derivative export,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_RECONSTRUCTION_VECTOR,z,True,source-native D/H_D derivative export,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_RECONSTRUCTION_VECTOR,D,True,source-native D/H_D derivative export,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_RECONSTRUCTION_VECTOR,D_prime,True,source-native D/H_D derivative export,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_RECONSTRUCTION_VECTOR,D_double_prime,True,source-native D/H_D derivative export,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_RECONSTRUCTION_VECTOR,H_D,True,source-native D/H_D derivative export,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_RECONSTRUCTION_VECTOR,H_D_prime,True,source-native D/H_D derivative export,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_RECONSTRUCTION_VECTOR,Source,True,source-native D/H_D derivative export,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_RECONSTRUCTION_VECTOR,SelectionRule,True,source-native D/H_D derivative export,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_RECONSTRUCTION_VECTOR,ClaimBoundary,True,source-native D/H_D derivative export,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_SELECTION_METADATA,FamilyID,True,family selection metadata,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_SELECTION_METADATA,DataCombination,True,family selection metadata,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_SELECTION_METADATA,CriteriaSet,True,family selection metadata,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_SELECTION_METADATA,Algorithm,True,family selection metadata,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_SELECTION_METADATA,ExpressionID,True,family selection metadata,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_SELECTION_METADATA,SelectionRule,True,family selection metadata,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_SELECTION_METADATA,UsesPublicSN,True,family selection metadata,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_SELECTION_METADATA,UsesPublicBAO,True,family selection metadata,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_SELECTION_METADATA,FittedInThisNote,True,family selection metadata,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_SELECTION_METADATA,ClaimBoundary,True,family selection metadata,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_BOOTSTRAP_SAMPLES,FamilyID,True,source-native omega bootstrap samples,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_BOOTSTRAP_SAMPLES,SampleID,True,source-native omega bootstrap samples,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_BOOTSTRAP_SAMPLES,z,True,source-native omega bootstrap samples,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_BOOTSTRAP_SAMPLES,Omega_R_plus_3Omega_Q,True,source-native omega bootstrap samples,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_BOOTSTRAP_SAMPLES,Source,True,source-native omega bootstrap samples,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_BOOTSTRAP_SAMPLES,ClaimBoundary,True,source-native omega bootstrap samples,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_COVARIANCE,FamilyID,True,source-native omega covariance,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_COVARIANCE,z_i,True,source-native omega covariance,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_COVARIANCE,z_j,True,source-native omega covariance,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_COVARIANCE,Covariance,True,source-native omega covariance,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_COVARIANCE,Source,True,source-native omega covariance,source_native_backreaction_templates_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_COVARIANCE,ClaimBoundary,True,source-native omega covariance,source_native_backreaction_templates_no_measurement_validation
