complexity,loss,equation,score,sympy_format,lambda_format,criteria3_penalty,criteria3_score,IsConstant,FinitePrediction,WeightedMSEOriginal,RMSEOriginal,MeanAbsResidualOverSigma,PredictionStd,SympyExpression,ClaimBoundary,NormalizedLossRatio,NormalizedComplexityCost,NormalizedCriteria3Score,SelectorID,N_eff,LambdaComplexity,LossConstantBaseline
1,0.7890149,-0.23905218,0.0,-0.239052180000000,PySRFunction(X=>-0.239052180000000),1.0,1.7890149,True,True,245.7639199705603,0.0260639163036587,12.884630913344235,0.0,-0.239052180000000,source_native_normalized_criteria3_selector_no_measurement_validation,1.0,0.0,1.0,SOURCE_NATIVE_NORMALIZED_CRITERIA3_V1,21,1.0,0.7890149
2,0.20282188,log(x0),1.3584570498879724,log(x0),PySRFunction(X=>log(x0)),1.0,2.20282188,False,True,69.06585136539987,0.012827170320755,6.7138764560242725,0.014273344103995,log(x0),source_native_normalized_criteria3_selector_no_measurement_validation,0.2570570974008222,0.047619047619047616,0.30467614501986984,SOURCE_NATIVE_NORMALIZED_CRITERIA3_V1,21,1.0,0.7890149
3,0.0980421,x0 + -1.236754,0.7269311771845688,x0 - 1.236754,PySRFunction(X=>x0 - 1.236754),1.0,3.0980421,False,True,29.92278887013855,0.0092670546858781,4.194224925964299,0.0166452176015337,x0 - 1.236754,source_native_normalized_criteria3_selector_no_measurement_validation,0.12425887014300997,0.09523809523809523,0.2194969653811052,SOURCE_NATIVE_NORMALIZED_CRITERIA3_V1,21,1.0,0.7890149
5,0.012555324,(x0 * 1.4965818) + -1.7322209,1.0276260897654856,x0*1.4965818 - 1.7322209,PySRFunction(X=>x0*1.4965818 - 1.7322209),1.0,5.012555324,False,True,4.864081623592746,0.0030057014413249,1.9054840509285045,0.024910929719495,x0*1.4965818 - 1.7322209,source_native_normalized_criteria3_selector_no_measurement_validation,0.015912657669709406,0.19047619047619047,0.20638884814589986,SOURCE_NATIVE_NORMALIZED_CRITERIA3_V1,21,1.0,0.7890149
6,0.012546674,x0 * log(x0 + -0.312177),0.0006891881946911,x0*log(x0 - 0.312177),PySRFunction(X=>x0*log(x0 - 0.312177)),1.0,6.012546674,False,True,3.548881341094066,0.0034199218092567,1.4608579487936724,0.0227233546116724,x0*log(x0 - 0.312177),source_native_normalized_criteria3_selector_no_measurement_validation,0.015901694632129256,0.23809523809523808,0.25399693272736734,SOURCE_NATIVE_NORMALIZED_CRITERIA3_V1,21,1.0,0.7890149
7,0.0105928425,((x0 * x0) * 0.533212) - 0.95466894,0.1692770733389255,x0*x0*0.533212 - 1*0.95466894,PySRFunction(X=>x0*x0*0.533212 - 1*0.95466894),1.0,7.0105928425,False,True,3.9266840503014384,0.0028731993193154,1.4280234879531828,0.0255026194115856,x0*x0*0.533212 - 1*0.95466894,source_native_normalized_criteria3_selector_no_measurement_validation,0.013425402359321732,0.2857142857142857,0.2991396880736074,SOURCE_NATIVE_NORMALIZED_CRITERIA3_V1,21,1.0,0.7890149
8,0.00336951,log(x0 + -0.23902948) * (x0 + 0.17328496),1.1454112039954565,(x0 + 0.17328496)*log(x0 - 0.23902948),PySRFunction(X=>(x0 + 0.17328496)*log(x0 - 0.23902948)),1.0,8.00336951,False,True,1.1045952416724338,0.0016725051109279,0.936710564133572,0.0251216658532536,(x0 + 0.17328496)*log(x0 - 0.23902948),source_native_normalized_criteria3_selector_no_measurement_validation,0.004270527717537401,0.3333333333333333,0.3376038610508707,SOURCE_NATIVE_NORMALIZED_CRITERIA3_V1,21,1.0,0.7890149
10,0.0028449863,x0 * (log((x0 + -0.31622508) * 1.0558493) / 0.9334083),0.0846045405490685,1.0713425196669*x0*log(1.0558493*x0 - 0.333886029360444),PySRFunction(X=>1.0713425196669*x0*log(1.0558493*x0 - 0.333886029360444)),1.0,10.0028449863,False,True,0.8057964573743901,0.0016291797677421,0.7848888335445484,0.0253703462020378,1.0713425196669*x0*log(1.0558493*x0 - 0.333886029360444),source_native_normalized_criteria3_selector_no_measurement_validation,0.003605744707736191,0.42857142857142855,0.4321771732791647,SOURCE_NATIVE_NORMALIZED_CRITERIA3_V1,21,1.0,0.7890149
12,0.0028447867,log((x0 * 1.0567229) + -0.3346337) * (x0 * (1.0286984 / 0.9608683)),3.508048565062085e-05,1.07059250471683*x0*log(1.0567229*x0 - 0.3346337),PySRFunction(X=>1.07059250471683*x0*log(1.0567229*x0 - 0.3346337)),1.0,12.0028447867,False,True,0.8067504348456678,0.0016283553027979,0.7826588162719901,0.0253744152145155,1.07059250471683*x0*log(1.0567229*x0 - 0.3346337),source_native_normalized_criteria3_selector_no_measurement_validation,0.0036054917340597754,0.5238095238095238,0.5274150155435836,SOURCE_NATIVE_NORMALIZED_CRITERIA3_V1,21,1.0,0.7890149
14,0.0026790514,((x0 + 0.10858442) + (-0.058773473 / x0)) * log((x0 * 1.0989125) + -0.3808641),0.0300126572438601,(x0 + 0.10858442 - 0.058773473/x0)*log(1.0989125*x0 - 0.3808641),PySRFunction(X=>(x0 + 0.10858442 - 0.058773473/x0)*log(1.0989125*x0 - 0.3808641)),1.0,14.0026790514,False,True,0.7715048225994042,0.0015730821674355,0.7631156493624303,0.0253831678306868,(x0 + 0.10858442 - 0.058773473/x0)*log(1.0989125*x0 - 0.3808641),source_native_normalized_criteria3_selector_no_measurement_validation,0.003395438286399915,0.6190476190476191,0.622443057334019,SOURCE_NATIVE_NORMALIZED_CRITERIA3_V1,21,1.0,0.7890149
