SourceID,Observable,z_eff,Value,Sigma,ReferenceKey,Role,ClaimBoundary
KOKSBANG_HEINESEN_SYMBOLIC_RECON_2604_05822,c_over_Hrs,0.51,20.98,0.61,DESI70,BAO radial H_D training input table from upstream source tex,source_native_symbolic_protocol_extract_no_measurement_validation
KOKSBANG_HEINESEN_SYMBOLIC_RECON_2604_05822,c_over_Hrs,0.706,20.08,0.6,DESI70,BAO radial H_D training input table from upstream source tex,source_native_symbolic_protocol_extract_no_measurement_validation
KOKSBANG_HEINESEN_SYMBOLIC_RECON_2604_05822,c_over_Hrs,0.93,17.88,0.35,DESI:2024mwx,BAO radial H_D training input table from upstream source tex,source_native_symbolic_protocol_extract_no_measurement_validation
KOKSBANG_HEINESEN_SYMBOLIC_RECON_2604_05822,c_over_Hrs,1.317,13.82,0.42,DESI71,BAO radial H_D training input table from upstream source tex,source_native_symbolic_protocol_extract_no_measurement_validation
KOKSBANG_HEINESEN_SYMBOLIC_RECON_2604_05822,c_over_Hrs,2.33,8.52,0.17,DESI:2024mwx,BAO radial H_D training input table from upstream source tex,source_native_symbolic_protocol_extract_no_measurement_validation
KOKSBANG_HEINESEN_SYMBOLIC_RECON_2604_05822,c_over_Hrs,0.38,24.981,0.582,BOSS72,BAO radial H_D training input table from upstream source tex,source_native_symbolic_protocol_extract_no_measurement_validation
KOKSBANG_HEINESEN_SYMBOLIC_RECON_2604_05822,c_over_Hrs,0.51,22.317,0.482,BOSS72,BAO radial H_D training input table from upstream source tex,source_native_symbolic_protocol_extract_no_measurement_validation
KOKSBANG_HEINESEN_SYMBOLIC_RECON_2604_05822,c_over_Hrs,0.698,19.326,0.469,eBOSS73,BAO radial H_D training input table from upstream source tex,source_native_symbolic_protocol_extract_no_measurement_validation
KOKSBANG_HEINESEN_SYMBOLIC_RECON_2604_05822,c_over_Hrs,1.48,13.261,0.469,eBOSS74,BAO radial H_D training input table from upstream source tex,source_native_symbolic_protocol_extract_no_measurement_validation
KOKSBANG_HEINESEN_SYMBOLIC_RECON_2604_05822,c_over_Hrs,2.334,8.99,0.19,eBOSS75,BAO radial H_D training input table from upstream source tex,source_native_symbolic_protocol_extract_no_measurement_validation
