RhoCross,ModelID,ModelClass,Rows,PositiveDefinite,ParameterCount,Chi2,AIC,BIC,SignStableViolations,ClaimBoundary
-0.9,K1_NO_MEMORY,fair_null,8,True,0,8.993373136559704,8.993373136559704,8.993373136559704,0,cross_covariance_sensitivity_no_measurement_validation
-0.9,K2_LOCKED_RHO4,locked_prediction,8,True,0,7.629301967545316,7.629301967545316,7.629301967545316,0,cross_covariance_sensitivity_no_measurement_validation
-0.9,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,10.23551205095714,10.23551205095714,10.23551205095714,5,cross_covariance_sensitivity_no_measurement_validation
-0.9,POLY_DEG2,overfit_risk_control,8,True,3,1.125691177202926,7.125691177202926,7.364015802242433,0,cross_covariance_sensitivity_no_measurement_validation
-0.9,POLY_DEG3,overfit_risk_control,8,True,4,1.0319704000375158,9.031970400037515,9.349736566756858,0,cross_covariance_sensitivity_no_measurement_validation
-0.85,K1_NO_MEMORY,fair_null,8,True,0,9.20292022518997,9.20292022518997,9.20292022518997,0,cross_covariance_sensitivity_no_measurement_validation
-0.85,K2_LOCKED_RHO4,locked_prediction,8,True,0,7.810848758781682,7.810848758781682,7.810848758781682,0,cross_covariance_sensitivity_no_measurement_validation
-0.85,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,10.472719614535098,10.472719614535098,10.472719614535098,5,cross_covariance_sensitivity_no_measurement_validation
-0.85,POLY_DEG2,overfit_risk_control,8,True,3,1.1557944366454955,7.155794436645495,7.394119061685002,0,cross_covariance_sensitivity_no_measurement_validation
-0.85,POLY_DEG3,overfit_risk_control,8,True,4,1.0612164139097702,9.06121641390977,9.378982580629113,0,cross_covariance_sensitivity_no_measurement_validation
-0.8,K1_NO_MEMORY,fair_null,8,True,0,9.422714106463307,9.422714106463307,9.422714106463307,0,cross_covariance_sensitivity_no_measurement_validation
-0.8,K2_LOCKED_RHO4,locked_prediction,8,True,0,8.001370497772513,8.001370497772513,8.001370497772513,0,cross_covariance_sensitivity_no_measurement_validation
-0.8,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,10.721505628617734,10.721505628617734,10.721505628617734,5,cross_covariance_sensitivity_no_measurement_validation
-0.8,POLY_DEG2,overfit_risk_control,8,True,3,1.1875971137940042,7.187597113794004,7.425921738833511,0,cross_covariance_sensitivity_no_measurement_validation
-0.8,POLY_DEG3,overfit_risk_control,8,True,4,1.0922112350471904,9.092211235047191,9.409977401766533,0,cross_covariance_sensitivity_no_measurement_validation
-0.75,K1_NO_MEMORY,fair_null,8,True,0,9.653544640795381,9.653544640795381,9.653544640795381,0,cross_covariance_sensitivity_no_measurement_validation
-0.75,K2_LOCKED_RHO4,locked_prediction,8,True,0,8.201558894050581,8.201558894050581,8.201558894050581,0,cross_covariance_sensitivity_no_measurement_validation
-0.75,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,10.982764822329134,10.982764822329134,10.982764822329134,5,cross_covariance_sensitivity_no_measurement_validation
-0.75,POLY_DEG2,overfit_risk_control,8,True,3,1.221252018326013,7.2212520183260125,7.459576643365519,0,cross_covariance_sensitivity_no_measurement_validation
-0.75,POLY_DEG3,overfit_risk_control,8,True,4,1.1251212975975213,9.125121297597522,9.442887464316865,0,cross_covariance_sensitivity_no_measurement_validation
-0.7,K1_NO_MEMORY,fair_null,8,True,0,9.89628735423064,9.89628735423064,9.89628735423064,0,cross_covariance_sensitivity_no_measurement_validation
-0.7,K2_LOCKED_RHO4,locked_prediction,8,True,0,8.412179660513996,8.412179660513996,8.412179660513996,0,cross_covariance_sensitivity_no_measurement_validation
-0.7,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,11.257489736127456,11.257489736127456,11.257489736127456,5,cross_covariance_sensitivity_no_measurement_validation
-0.7,POLY_DEG2,overfit_risk_control,8,True,3,1.256931578610959,7.256931578610959,7.495256203650466,0,cross_covariance_sensitivity_no_measurement_validation
-0.7,POLY_DEG3,overfit_risk_control,8,True,4,1.16013559574044,9.16013559574044,9.477901762459783,0,cross_covariance_sensitivity_no_measurement_validation
-0.65,K1_NO_MEMORY,fair_null,8,True,0,10.15191578788695,10.15191578788695,10.15191578788695,0,cross_covariance_sensitivity_no_measurement_validation
-0.65,K2_LOCKED_RHO4,locked_prediction,8,True,0,8.634082849296078,8.634082849296078,8.634082849296078,0,cross_covariance_sensitivity_no_measurement_validation
-0.65,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,11.546785035018317,11.546785035018317,11.546785035018317,5,cross_covariance_sensitivity_no_measurement_validation
-0.65,POLY_DEG2,overfit_risk_control,8,True,3,1.2948312472871548,7.294831247287155,7.533155872326661,0,cross_covariance_sensitivity_no_measurement_validation
-0.65,POLY_DEG3,overfit_risk_control,8,True,4,1.1974697963507808,9.19746979635078,9.515235963070124,0,cross_covariance_sensitivity_no_measurement_validation
-0.6,K1_NO_MEMORY,fair_null,8,True,0,10.421516146236929,10.421516146236929,10.421516146236929,0,cross_covariance_sensitivity_no_measurement_validation
-0.6,K2_LOCKED_RHO4,locked_prediction,8,True,0,8.868215006026395,8.868215006026395,8.868215006026395,0,cross_covariance_sensitivity_no_measurement_validation
-0.6,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,11.851884550167362,11.851884550167362,11.851884550167362,5,cross_covariance_sensitivity_no_measurement_validation
-0.6,POLY_DEG2,overfit_risk_control,8,True,3,1.3351736819056652,7.335173681905665,7.573498306945172,0,cross_covariance_sensitivity_no_measurement_validation
-0.6,POLY_DEG3,overfit_risk_control,8,True,4,1.2373713261970072,9.237371326197007,9.55513749291635,0,cross_covariance_sensitivity_no_measurement_validation
-0.55,K1_NO_MEMORY,fair_null,8,True,0,10.706304790111126,10.706304790111126,10.706304790111126,0,cross_covariance_sensitivity_no_measurement_validation
-0.55,K2_LOCKED_RHO4,locked_prediction,8,True,0,9.115633537349847,9.115633537349847,9.115633537349847,0,cross_covariance_sensitivity_no_measurement_validation
-0.55,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,12.174171718669204,12.174171718669204,12.174171718669204,5,cross_covariance_sensitivity_no_measurement_validation
-0.55,POLY_DEG2,overfit_risk_control,8,True,3,1.3782139272419223,7.378213927241922,7.616538552281429,0,cross_covariance_sensitivity_no_measurement_validation
-0.55,POLY_DEG3,overfit_risk_control,8,True,4,1.2801257270640447,9.280125727064044,9.597891893783387,0,cross_covariance_sensitivity_no_measurement_validation
-0.5,K1_NO_MEMORY,fair_null,8,True,0,11.007649285222673,11.007649285222673,11.007649285222673,0,cross_covariance_sensitivity_no_measurement_validation
-0.5,K2_LOCKED_RHO4,locked_prediction,8,True,0,9.377523791477245,9.377523791477245,9.377523791477245,0,cross_covariance_sensitivity_no_measurement_validation
-0.5,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,12.51520430199889,12.51520430199889,12.51520430199889,5,cross_covariance_sensitivity_no_measurement_validation
-0.5,POLY_DEG2,overfit_risk_control,8,True,3,1.4242459095532611,7.424245909553261,7.662570534592768,0,cross_covariance_sensitivity_no_measurement_validation
-0.5,POLY_DEG3,overfit_risk_control,8,True,4,1.3260646824661682,9.326064682466168,9.64383084918551,0,cross_covariance_sensitivity_no_measurement_validation
-0.45,K1_NO_MEMORY,fair_null,8,True,0,11.327093945273017,11.327093945273017,11.327093945273017,0,cross_covariance_sensitivity_no_measurement_validation
-0.45,K2_LOCKED_RHO4,locked_prediction,8,True,0,9.655219490582887,9.655219490582887,9.655219490582887,0,cross_covariance_sensitivity_no_measurement_validation
-0.45,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,12.876744559001274,12.876744559001274,12.876744559001274,5,cross_covariance_sensitivity_no_measurement_validation
-0.45,POLY_DEG2,overfit_risk_control,8,True,3,1.4736106751279623,7.473610675127962,7.711935300167469,0,cross_covariance_sensitivity_no_measurement_validation
