TargetFractionFloor,BestModel,K1AIC,K2AIC,BestPolyAIC,DeltaAIC_K2_minus_K1,DeltaAIC_K2_minus_BestPoly,K2BestModel,K2BeatsBestPoly,ClaimBoundary,FirstFloorWhereK2Best,FirstFloorWhereK2BeatsBestPoly,Interpretation
0.0,POLY_DEG2,139789.55908762495,136480.7438339473,2667.832384218718,-3308.8152536776615,133812.91144972856,False,False,error_floor_sweep_only_no_measurement_validation,0.14,0.14,poly_or_control_dominates
0.01,POLY_DEG2,18991.377387834793,18091.400569797355,1015.0320602086673,-899.9768180374376,17076.368509588687,False,False,error_floor_sweep_only_no_measurement_validation,0.14,0.14,poly_or_control_dominates
0.02,POLY_DEG3,5368.601047243807,4874.855317309135,560.507298640385,-493.74572993467245,4314.34801866875,False,False,error_floor_sweep_only_no_measurement_validation,0.14,0.14,poly_or_control_dominates
0.03,POLY_DEG3,2845.8646878751065,2427.3469372187233,407.4187913447379,-418.5177506563832,2019.9281458739854,False,False,error_floor_sweep_only_no_measurement_validation,0.14,0.14,poly_or_control_dominates
0.04,POLY_DEG3,1962.9069620960613,1570.71900418708,353.8378137912614,-392.1879579089814,1216.8811903958185,False,False,error_floor_sweep_only_no_measurement_validation,0.14,0.14,poly_or_control_dominates
0.05,POLY_DEG3,1554.2236718783315,1174.2226466124332,329.0374756093666,-380.0010252658983,845.1851710030667,False,False,error_floor_sweep_only_no_measurement_validation,0.14,0.14,poly_or_control_dominates
0.06,POLY_DEG3,1256.0560299591193,913.8080221211713,306.50750184601736,-342.24800783794797,607.300520275154,False,False,error_floor_sweep_only_no_measurement_validation,0.14,0.14,poly_or_control_dominates
0.07,POLY_DEG3,1048.8991634891458,744.1830558872629,289.6533663552165,-304.716107601883,454.52968953204635,False,False,error_floor_sweep_only_no_measurement_validation,0.14,0.14,poly_or_control_dominates
0.08,POLY_DEG3,847.5519060314833,589.7724309397056,267.8642345164693,-257.7794750917777,321.9081964232363,False,False,error_floor_sweep_only_no_measurement_validation,0.14,0.14,poly_or_control_dominates
0.09,POLY_DEG3,689.5404158603731,474.8073248169062,252.92123592038195,-214.73309104346686,221.88608889652426,False,False,error_floor_sweep_only_no_measurement_validation,0.14,0.14,poly_or_control_dominates
0.1,POLY_DEG3,572.9054673359008,390.9278937588457,242.23179390303753,-181.97757357705507,148.69609985580817,False,False,error_floor_sweep_only_no_measurement_validation,0.14,0.14,poly_or_control_dominates
0.11,POLY_DEG3,482.7204171487122,327.206070671239,234.1840518613336,-155.51434647747323,93.0220188099054,False,False,error_floor_sweep_only_no_measurement_validation,0.14,0.14,poly_or_control_dominates
