RouteID,SubsetID,Rows,AmplitudeEstimator,AOpt,DistanceFromA2,WithinA2HalfBand,UsedForPrediction,ClaimBoundary,A2ImprovesOverUnit,DeltaAIC_A2_minus_Unit
PUBLIC_COVARIANCE_PROXY,all_depth,8,generalized_least_squares_against_unit_K2,2.394824550430766,0.39482455043076614,True,False,a2_amplitude_specificity_no_measurement_validation,,
PUBLIC_COVARIANCE_PROXY,low_depth,2,generalized_least_squares_against_unit_K2,15.698791485181307,13.698791485181307,False,False,a2_amplitude_specificity_no_measurement_validation,,
PUBLIC_COVARIANCE_PROXY,mid_depth,3,generalized_least_squares_against_unit_K2,3.2576301769636125,1.2576301769636125,False,False,a2_amplitude_specificity_no_measurement_validation,,
PUBLIC_COVARIANCE_PROXY,high_depth,3,generalized_least_squares_against_unit_K2,1.9768626507591909,0.023137349240809124,True,False,a2_amplitude_specificity_no_measurement_validation,,
PUBLIC_COVARIANCE_PROXY,mid_high_memory_active,6,generalized_least_squares_against_unit_K2,1.9475444778561604,0.05245552214383964,True,False,a2_amplitude_specificity_no_measurement_validation,,
PUBLIC_COVARIANCE_PROXY,memory_active_sign_stable,3,generalized_least_squares_against_unit_K2,2.7532172199727065,0.7532172199727065,False,False,a2_amplitude_specificity_no_measurement_validation,,
PUBLIC_COVARIANCE_PROXY,memory_active_anti_aligned,3,generalized_least_squares_against_unit_K2,1.7309672410389194,0.2690327589610806,True,False,a2_amplitude_specificity_no_measurement_validation,,
TRANSFORM_VARIANT::weighted_centered_sn__nearest_invvar_bao,all_depth,8,fixed_A2_vs_unit_K2_improvement_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,True,-7.708179772027968
TRANSFORM_VARIANT::weighted_centered_sn__nearest_invvar_bao,mid_high_memory_active,6,fixed_A2_vs_unit_K2_improvement_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,True,-3.3808053087136214
TRANSFORM_VARIANT::weighted_centered_sn__nearest_invvar_bao,high_depth,3,fixed_A2_vs_unit_K2_improvement_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,True,-2.250455576650097
TRANSFORM_VARIANT::weighted_centered_sn__nearest_equal_bao,all_depth,8,fixed_A2_vs_unit_K2_improvement_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,True,-6.014861167606188
TRANSFORM_VARIANT::weighted_centered_sn__nearest_equal_bao,mid_high_memory_active,6,fixed_A2_vs_unit_K2_improvement_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,True,-2.8185503273781745
TRANSFORM_VARIANT::weighted_centered_sn__nearest_equal_bao,high_depth,3,fixed_A2_vs_unit_K2_improvement_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,True,-1.9978882635831758
TRANSFORM_VARIANT::weighted_raw_sn__nearest_invvar_bao,all_depth,8,fixed_A2_vs_unit_K2_improvement_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,True,-20.537334809931338
TRANSFORM_VARIANT::weighted_raw_sn__nearest_invvar_bao,mid_high_memory_active,6,fixed_A2_vs_unit_K2_improvement_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,True,-8.466402260648543
TRANSFORM_VARIANT::weighted_raw_sn__nearest_invvar_bao,high_depth,3,fixed_A2_vs_unit_K2_improvement_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,True,-5.702706640972178
TRANSFORM_VARIANT::weighted_raw_sn__nearest_equal_bao,all_depth,8,fixed_A2_vs_unit_K2_improvement_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,True,-18.84401620550966
