"CheckID","Status","Value","Expected"
"symbolic_operator","REPRODUCIBILITY_OK","1 + rho*x^3","1 + rho*x^3"
"symbolic_tail_integral","REPRODUCIBILITY_OK","rho/4","rho/4"
"symbolic_passive_bound","REPRODUCIBILITY_OK","rho <= 4","rho <= 4"
"symbolic_power_tail","REPRODUCIBILITY_OK","rho/(1 + p)","rho/(1 + p)"
"symbolic_power_bound","REPRODUCIBILITY_OK","rho <= 1 + p","rho <= 1 + p"
"shape_selection_baseline_kernel","REPRODUCIBILITY_OK","""p=3""","""p=3"""
"shape_selection_strict_endpoint_warning","REPRODUCIBILITY_OK","""none""","""none"""
"threshold_sensitivity_relaxed_low_depth_broadens","REPRODUCIBILITY_OK","""p=2; p=3""","""contains p=2"""
"threshold_sensitivity_row_count","REPRODUCIBILITY_OK","5",""">=5"""
"snbao_point_gate_row_count","REPRODUCIBILITY_OK","9","9"
"snbao_sign_stable_count","REPRODUCIBILITY_OK","5","5"
"snbao_sign_unstable_count","REPRODUCIBILITY_OK","4","4"
"snbao_decision_set","REPRODUCIBILITY_OK","{""NONVIOLATING_SIGN_STABLE"", ""COMPATIBLE_SIGN_UNSTABLE""}","{""NONVIOLATING_SIGN_STABLE"", ""COMPATIBLE_SIGN_UNSTABLE""}"
"snbao_locked_k2_rho","REPRODUCIBILITY_OK","""4.""","4"
"snbao_locked_k2_status","REPRODUCIBILITY_OK","""NON_VIOLATING_DIAGNOSTIC""","""NON_VIOLATING_DIAGNOSTIC"""
"result_summary_sign_stable_fraction","REPRODUCIBILITY_OK","""1.0000000000""","1"
"result_summary_sign_unstable_fraction","REPRODUCIBILITY_OK","""1.0000000000""","1"
